Category,Code,Description
Other,41874,"Alveoplasty, Each Quadrant (specify)"
Other,41899,"Unlisted Procedure, Dentoalveolar Strcturs, By Rpt"
Other,42100,"Biopsy Of Palate, Uvula"
Other,42330,"Sialothotomy; Sub-mand/max/lingual, Uncomplicated"
Other,42335,"Sialothotomy; Sub-mand/max/lingual, Complicated"
Other,42340,"Sialothotomy; Parotid, Extraoral, Complicated"
Other,42440,Excision Submandibular/Submaxillary Gland
Other,42450,Excision Of Sublingual Gland
Other,42500,"Plastic Repair Salivary Duct, Sialodochoplasty-pri"
Other,42505,"Plastic Repair Salivary Duct, Sialodochoplasty-sec"
Other,42600,Closure Salivary Fistula
Other,64400,"Injection, Anesthetic Agent; Trigeminal Nerve"
Other,64612,Chemodenervation Of Muscles-Innervtd By Facl Spasm
Other,70300,"Radiologic Exam, Teeth; Single View"
Other,70310,"Radiologic Exam, Teeth; Partial, Less Than Full Mo"
Other,70320,"Radiologic Exam, Teeth; Complete, Full Mouth"
Other,70328,"Radiologic Exam; TMJ, Open/Closed Mouth; Unilatera"
Other,70330,"Radiologic Exam; TMJ, Open/Closed Mouth; Bilateral"
Other,70332,"TMJ Arthrography; Radiological Supervision, Interp"
Other,70350,"Cephalogram, Orthodontic"
Other,70355,Orthopantogram
Other,99201,Ofc Or Othr Outpt Visit For Eval/mgmt Of New Pt
Other,99204,Ofc Or Othr Outpt Visit For Eval/mgmt Of New Pt
Other,99212,Ofc Or Othr Outpt Visit For Eval/mgmt Of Estbls Pt
Other,99213,Ofc Or Othr Outpt Visit For Eval/mgmt Of Estbls Pt
Other,99214,Ofc Or Othr Outpt Visit For Eval/mgmt Of Estbls Pt
Other,99215,Ofc Or Othr Outpt Visit For Eval/mgmt Of Estbls Pt
Other,99241,"Ofc Consultation, New/Established Pt, Minor"
Other,99242,"Ofc Consultation, New/Established Pt, Low Severity"
Other,E0485,"Oral Device/appliance, Prefabricated"
Other,E0486,"Oral Device/appliance, Custom Fabricated"
Other,T1013,"Sign Language/Oral Interpretive Services, Per 15 M"
